MONTH	P_TC	P_PFPR	P_TACT_code	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TFR_99	TFR_95	TFR_75	TFR_50	TFR_25	TFR_05	TFR_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01
98	0.25	0.1	ASMQ_PPQ	1	0.61327988	0.40555745	0.207046	0.11293	0.03918525	0.007722345	0	0.28642829	0.2	0.0714286	0	0	0	0	0.000416675	0.000348825	0.000241125	0.00015525	0.00009325	0.00004115	0.00002392
99	0.25	0.1	ASMQ_PPQ	1	0.51182202	0.41548855	0.215657	0.1012855	0.050191975	0.009049478	0.005309322	0.505	0.2358972	0.07478635	0	0	0	0	0.0003895	0.0003395	0.0002335	0.00015625	0.00009525	0.000035725	0.00002389
100	0.25	0.1	ASMQ_PPQ	1	0.53355688	0.4297669	0.2247465	0.104821	0.042168325	0.009415267	0.004448383	0.2005	0.13668865	0.0526316	0	0	0	0	0.00037761	0.000336325	0.0002315	0.0001515	0.000097	0.0000369	0.00001993
101	0.25	0.1	ASMQ_PPQ	1	0.58614835	0.4250674	0.21126725	0.102721	0.044829675	0.009286664	0.002675673	0.190625	0.166667	0.07571135	0	0	0	0	0.00036577	0.000330475	0.0002345	0.0001535	0.00009425	0.0000345	0.000016965
102	0.25	0.1	ASMQ_PPQ	1	0.59657001	0.42575685	0.206849	0.09930345	0.04747895	0.006885335	0	0.2575	0.1671572	0.0872762	0	0	0	0	0.000366765	0.0003251	0.000238125	0.00015575	0.000094875	0.000037675	0.00001848
103	0.25	0.1	ASMQ_PPQ	1	0.62238421	0.4243736	0.2161805	0.1013655	0.0458496	0.006121599	0	0.15831605	0.1381773	0.0526316	0	0	0	0	0.000394915	0.00032475	0.000227625	0.00015925	0.000087625	0.000037425	0.000019915
104	0.25	0.1	ASMQ_PPQ	1	0.61347852	0.438125	0.2199135	0.108876	0.048213925	0.006478096	0	0.29285686	0.142857	0.0555556	0	0	0	0	0.000376525	0.000322175	0.0002255	0.00015775	0.000090875	0.00003535	0.00001695
105	0.25	0.1	ASMQ_PPQ	1	0.61334836	0.42015385	0.22067175	0.104435	0.041205775	0.009397045	0.001309523	0.29285686	0.2	0.07478635	0	0	0	0	0.000371335	0.000331125	0.000217875	0.00015575	0.000092375	0.0000335	0.000014485
106	0.25	0.1	ASMQ_PPQ	1	0.59862296	0.47326645	0.21047475	0.107142	0.040721725	0.008557303	0	0.25083333	0.1838382	0.0555556	0	0	0	0	0.00037161	0.00033505	0.000217875	0.00014525	0.000091125	0.0000329	0.000013975
107	0.25	0.1	ASMQ_PPQ	1	0.62217567	0.49554035	0.21125375	0.111606	0.034688825	0.008343491	0.00258486	0.401	0.15448705	0.056372575	0	0	0	0	0.00037408	0.00032925	0.000212875	0.0001455	0.000090625	0.000031325	0.00001297
108	0.25	0.1	ASMQ_PPQ	1	0.67810822	0.52528915	0.217772	0.116114	0.03575535	0.005281503	0.002765367	0.22333311	0.10055555	0.04020975	0	0	0	0	0.000380055	0.00032285	0.000205	0.0001395	0.000087375	0.000031975	0.00001247
109	0.25	0.1	ASMQ_PPQ	1	0.68546728	0.52500045	0.24095175	0.1110185	0.0348915	0.009060639	0.002812501	0.20022222	0.125	0.039141375	0	0	0	0	0.00036035	0.000309375	0.000200125	0.00013975	0.00008925	0.00002845	0.00001346
110	0.25	0.1	ASMQ_PPQ	1	0.70234446	0.54069445	0.23270425	0.108791	0.0396907	0.009271996	0	0.20030769	0.11180545	0.0421196	0	0	0	0	0.000353925	0.000304125	0.000202375	0.00013625	0.00008775	0.000031975	0.00001394
111	0.25	0.1	ASMQ_PPQ	1	0.6839915	0.5177387	0.21720925	0.1165215	0.042987125	0.009730391	0	0.33499967	0.1827271	0.0513889	0	0	0	0	0.000357	0.000299025	0.000196	0.00013225	0.000084	0.000031975	0.000015925
112	0.25	0.1	ASMQ_PPQ	1	0.71451927	0.54720265	0.23263575	0.1264635	0.037673475	0.010797818	0	0.33499967	0.1349997	0.005681825	0	0	0	0	0.00036064	0.00030845	0.000194	0.00012925	0.00007975	0.0000333	0.000019415
